Source,Target,buyercod,sellercod,desig2,desc,nrdel,buyer,seller,tivunit,tivorder,tivdel,longSource,latSource,longDest,latDest
32,35,USR,POL,Mi-2,Light helicopter,540,Soviet Union,Poland,1.1,594.0,594.0,19.145136,51.919438,65.865034,-25.559085
32,35,USR,POL,Project-300/Oskol,Repair ship,12,Soviet Union,Poland,29.95,359.4,359.4,19.145136,51.919438,65.865034,-25.559085
32,35,USR,POL,Project-304/Amur,support/repair ship,29,Soviet Union,Poland,42.5,1232.5,1232.5,19.145136,51.919438,65.865034,-25.559085
32,35,USR,POL,Project-771/Polnocny,Landing ship,67,Soviet Union,Poland,20.0,1340.0,1340.0,19.145136,51.919438,65.865034,-25.559085
32,35,USR,POL,Type-861/Moma,SIGINT ship,9,Soviet Union,Poland,14.96,134.64,134.64,19.145136,51.919438,65.865034,-25.559085
89,88,POR,SA,T-6 Texan,Trainer aircraft,59,Portugal,South Africa,0.128,7.552,7.552,22.937506,-30.559482,-8.224454,39.399872
27,88,POR,SPA,Coutinho,Corvette,3,Portugal,Spain,70.15,210.45,210.45,-3.74922,40.463667,-8.224454,39.399872
79,94,AST,SWE,Saab-105XT,Trainer/combat ac,20,Austria,Sweden,6.96,139.2,139.2,18.643501,60.128161,14.550072,47.516231
79,70,DEN,SWE,Saab-35XD Draken,FGA aircraft,46,Denmark,Sweden,10.75,494.5,494.5,18.643501,60.128161,9.501785,56.26392
79,100,JAP,SWE,375mm Quad,ASW MRL,18,Japan,Sweden,5.0,90.0,90.0,18.643501,60.128161,138.252924,36.204824
